feature,Importance
median_income,0.4715636782901037
ocean_proximity_INLAND,0.1401750923845874
population_per_household,0.12238676700524276
longitude,0.06782740354613033
latitude,0.054741354335321214
housing_median_age,0.041401268853920814
rooms_per_household,0.026538164261547866
bedrooms_per_room,0.023895515474693017
total_rooms,0.014026819333256212
households,0.012736869412458399
total_bedrooms,0.012661734030380936
population,0.009410597163884853
ocean_proximity_NEAR OCEAN,0.002088669905496479
ocean_proximity_NEAR BAY,0.0005460660029761125
ocean_proximity_ISLAND,0.0
